delta,val,tare
86,8270407,270321
91,8270412,270321
-127,8270194,270321
-128,8270193,270321
113,8270434,270321
-297,8270024,270321
-252,8270069,270321
-216,8270105,270321
-197,8270124,270321
-104,8270217,270321
624,8270945,270321
-1778,8268543,270321
-2306,8268015,270321
-1280,8269041,270321
771,8271092,270321
1274,8271595,270321
520,8270841,270321
805,8271126,270321
-222,8270099,270321
-145,8270176,270321
1646,8271967,270321
1204,8271525,270321
1005,8271326,270321
976,8271297,270321
152,8270473,270321
-32,8270289,270321
-46,8270275,270321
2,8270323,270321
-78,8270243,270321
-103,8270218,270321
-34,8270287,270321
-132,8270189,270321
-100,8270221,270321
-65,8270256,270321
-98,8270223,270321
-63,8270258,270321
-79,8270242,270321
-56,8270265,270321
-65,8270256,270321
-128,8270193,270321
-92,8270229,270321
-40,8270281,270321
-48,8270273,270321
-131,8270190,270321
-133,8270188,270321
-55,8270266,270321
-93,8270228,270321
-36,8270285,270321
-42,8270279,270321
-71,8270250,270321
-120,8270201,270321
-140,8270181,270321
-126,8270195,270321
-81,8270240,270321
-77,8270244,270321
-99,8270222,270321
-155,8270166,270321
-198,8270123,270321
-170,8270151,270321
-135,8270186,270321
-110,8270211,270321
-133,8270188,270321
-149,8270172,270321
-128,8270193,270321
-126,8270195,270321
-77,8270244,270321
-106,8270215,270321
-135,8270186,270321
-161,8270160,270321
-170,8270151,270321
-7,8270314,270321
345,8270666,270321
-772,8269549,270321
-285,8270036,270321
-353,8269968,270321
-128,8270193,270321
-87,8270234,270321
-614,8269707,270321
-678,8269643,270321
-413,8269908,270321
-378,8269943,270321
-356,8269965,270321
-370,8269951,270321
-458,8269863,270321
-368,8269953,270321
-443,8269878,270321
-458,8269863,270321
-752,8269569,270321
-654,8269667,270321
-725,8269596,270321
-381,8269940,270321
-238,8270083,270321
-323,8269998,270321
-353,8269968,270321
-370,8269951,270321
-429,8269892,270321
-344,8269977,270321
-421,8269900,270321
-494,8269827,270321
-397,8269924,270321
-183,8270138,270321
-258,8270063,270321
-323,8269998,270321
-312,8270009,270321
-375,8269946,270321
-365,8269956,270321
-342,8269979,270321
-271,8270050,270321
-488,8269833,270321
-500,8269821,270321
-370,8269951,270321
-409,8269912,270321
-238,8270083,270321
-185,8270136,270321
287,8270608,270321
128,8270449,270321
232,8270553,270321
256,8270577,270321
419,8270740,270321
336,8270657,270321
238,8270559,270321
229,8270550,270321
244,8270565,270321
263,8270584,270321
323,8270644,270321
437,8270758,270321
406,8270727,270321
247,8270568,270321
321,8270642,270321
467,8270788,270321
459,8270780,270321
374,8270695,270321
397,8270718,270321
316,8270637,270321
375,8270696,270321
429,8270750,270321
450,8270771,270321
421,8270742,270321
354,8270675,270321
368,8270689,270321
446,8270767,270321
424,8270745,270321
423,8270744,270321
431,8270752,270321
445,8270766,270321
393,8270714,270321
316,8270637,270321
371,8270692,270321
383,8270704,270321
312,8270633,270321
576,8270897,270321
591,8270912,270321
553,8270874,270321
518,8270839,270321
494,8270815,270321
540,8270861,270321
471,8270792,270321
487,8270808,270321
486,8270807,270321
408,8270729,270321
257,8270578,270321
207,8270528,270321
464,8270785,270321
483,8270804,270321
407,8270728,270321
448,8270769,270321
364,8270685,270321
342,8270663,270321
486,8270807,270321
459,8270780,270321
599,8270920,270321
774,8271095,270321
633,8270954,270321
687,8271008,270321
715,8271036,270321
625,8270946,270321
659,8270980,270321
586,8270907,270321
603,8270924,270321
560,8270881,270321
576,8270897,270321
667,8270988,270321
639,8270960,270321
554,8270875,270321
500,8270821,270321
534,8270855,270321
483,8270804,270321
31,8270352,270321
